ColumnType,Column_ID,FailOrPass,Name,Area,% Area,Height,Width,USP Resolution,Asym @ 10,Asym,USP Tailing,USP Plate Count,Width @ Baseline,Width @ Tangent (USP Resolution),Width @ 5%,Width @ 50%
XBridge C18 ,AD0224,1,15T,170332,22.56,19150,54.5,,1.522599,18320.2552,1.443746,27152.66664,0.908333,0.2209,0.338879,0.128185
XBridge C18 ,AD0224,1,20T,157246,20.82,17009,44.1,14.953232,1.592854,30415.10744,1.452604,46462.40756,0.735,0.2316,0.347182,0.1338
XBridge C18 ,AD0224,1,25T,170688,22.6,18165,40.7,10.932731,1.606874,42240.9752,1.437312,64142.44494,0.678333,0.2376,0.348007,0.137173
XBridge C18 ,AD0224,1,30T,136563,18.08,14052,49.9,8.375642,1.655828,48802.84588,1.525441,80454.46227,0.831667,0.2404,0.37803,0.139244
XBridge C18 ,AD0224,1,35T,120332,15.93,12355,47.4,6.664937,1.696052,55405.91371,1.563523,94090.59218,0.79,0.2433,0.387974,0.14161
XBridge C18 ,AD0224,1,15T,213498,23.61,23177,52.95,,1.598886,16482.48689,1.48383,25369.52501,0.8825,0.228073,0.349844,0.132381
XBridge C18 ,AD0224,1,20T,185454,20.51,19873,44.1,14.738768,1.654341,29223.40904,1.488983,46036.13509,0.735,0.232599,0.350468,0.134077
XBridge C18 ,AD0224,1,25T,205925,22.77,21212,60.6,10.957221,1.73687,38172.36786,1.566426,64530.83824,1.01,0.236968,0.371965,0.136792
XBridge C18 ,AD0224,1,30T,158537,17.53,16375,52.9,8.422851,1.702255,48849.24814,1.543407,81490.75187,0.881667,0.238957,0.373279,0.138012
XBridge C18 ,AD0224,1,35T,140862,15.58,14470,56.95,6.712765,1.748295,53856.98234,1.610192,95333.3158,0.949167,0.241834,0.394211,0.140837
Acquity Oligo BEH C18 ,AD0022,1,15T,148910,21.65,22043,31,,1.54524,81703.02581,1.388355,118288.6906,0.516667,0.170348,0.244779,0.098815
Acquity Oligo BEH C18 ,AD0022,1,20T,146572,21.31,20288,29.45,20.881852,1.739709,97866.88105,1.564825,170131.8625,0.490833,0.177236,0.28243,0.102437
Acquity Oligo BEH C18 ,AD0022,1,25T,152620,22.19,20226,32.35,14.737528,1.785461,115340.3035,1.607826,210463.2865,0.539167,0.182462,0.296966,0.105127
Acquity Oligo BEH C18 ,AD0022,1,30T,118946,17.3,15050,26.85,11.056964,1.880493,113804.8614,1.705494,232836.2001,0.4475,0.19057,0.331583,0.110027
Acquity Oligo BEH C18 ,AD0022,1,35T,120640,17.54,14750,27.05,8.627029,1.902764,120165.7473,,255846.3499,0.450833,0.194949,,0.112668
Acquity Oligo BEH C18 ,AD0022,1,15T,130415,22.63,18554,47.2,,1.662892,71999.16168,1.500576,117998.2176,0.786667,0.170607,0.264758,0.098684
Acquity Oligo BEH C18 ,AD0022,1,20T,124519,21.61,16270,39.05,20.658388,1.848984,83926.12266,1.66709,163543.2085,0.650833,0.180821,0.305805,0.104214
Acquity Oligo BEH C18 ,AD0022,1,25T,126688,21.99,15997,32.4,14.425574,1.904688,96802.51191,1.74001,200656.3409,0.54,0.186931,0.329465,0.107961
Acquity Oligo BEH C18 ,AD0022,1,30T,97433,16.91,11674,30.9,10.75559,2.063619,95905.84339,1.889789,219726.5202,0.515,0.196217,0.365728,0.113132
Acquity Oligo BEH C18 ,AD0022,1,35T,97188,16.87,11588,26.4,8.451648,2.00978,104160.4076,,248318.3455,0.44,0.197946,,0.115221
XBridge C18 ,AD0175,1,15T,224164,22.47,21036,51.9,,1.654193,13181.83768,1.46632,19798.22053,0.865,0.269284,0.387876,0.156634
XBridge C18 ,AD0175,1,20T,208969,20.94,19246,45.8,12.322319,1.678178,22713.04544,1.463127,34456.85805,0.763333,0.276594,0.393287,0.160398
XBridge C18 ,AD0175,1,25T,233227,23.38,20680,56.1,8.857858,1.794309,28416.70076,1.565562,46685.11444,0.935,0.283552,0.419945,0.16473
XBridge C18 ,AD0175,1,30T,177814,17.82,15868,49.15,6.768601,1.786897,35630.54183,1.569362,58564.52314,0.819167,0.284968,0.424612,0.165766
XBridge C18 ,AD0175,1,35T,153538,15.39,13617,45.25,5.389572,1.843088,38926.63703,1.60012,67578.7438,0.754167,0.289085,0.435773,0.169049
XBridge C18 ,AD0175,1,15T,216679,22.57,20427,54.1,,1.653731,13393.78899,1.469772,20224.65983,0.901667,0.267724,0.386887,0.155787
XBridge C18 ,AD0175,1,20T,201733,21.01,18484,46.9,12.342383,1.677282,22641.87988,1.468008,34585.08258,0.781667,0.277041,0.396767,0.16062
